Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
100.0,5.43,70.27,78.17,72.45,76.13
70.88,3.98,70.74,35.0,73.66,60.08
100.0,5.4,67.94,95.9,65.84,72.78
76.0,7.17,51.97,70.43,70.7,67.39
87.69,4.33,54.77,78.85,76.6,73.95
58.5,4.78,59.24,66.3,38.92,50.8
52.95,7.11,56.32,82.65,100.0,72.2
77.77,5.71,87.53,74.64,69.18,74.63
93.76,6.07,75.28,76.66,41.01,63.71
91.78,4.11,62.18,58.43,77.18,66.01
97.25,6.9,78.27,91.09,69.46,77.76
63.3,8.01,93.7,70.91,73.36,79.11
71.07,5.28,63.11,72.71,64.24,66.97
70.92,6.8,35.64,80.54,62.55,56.22
77.61,6.2,78.8,59.95,58.46,68.82
94.33,3.89,86.24,72.0,78.86,78.94
74.35,5.03,92.24,76.29,76.72,76.17
88.6,4.56,79.18,68.05,69.72,73.25
84.95,4.0,56.95,89.59,59.59,68.14
64.16,5.96,47.46,73.61,76.39,62.96
91.53,5.81,67.7,93.71,67.52,72.81
83.98,5.24,97.68,51.35,79.09,79.71
72.53,6.05,49.31,68.76,77.04,64.14
66.4,3.72,78.7,80.85,60.39,64.09
66.69,3.87,76.17,59.18,73.61,68.53
64.2,6.49,90.24,75.55,49.34,66.37
84.0,4.66,65.76,70.3,66.84,60.73
52.86,4.28,64.03,78.57,61.06,56.54
66.66,5.4,44.18,74.82,76.3,57.06
78.43,5.92,70.33,74.53,65.98,66.43
87.62,4.5,81.86,40.99,56.8,67.4
70.4,4.24,45.53,60.09,63.33,63.54
77.95,6.22,82.29,93.04,61.23,69.1
82.89,5.16,59.13,81.81,58.19,58.71
57.52,3.63,84.71,67.48,73.59,66.74
92.54,9.22,65.55,87.96,85.65,84.58
97.35,3.17,68.03,69.34,64.3,73.81
75.93,4.04,50.73,84.3,49.19,57.21
95.91,4.93,75.71,48.18,60.29,67.37
82.48,4.88,77.84,78.43,69.53,73.94
78.61,1.09,52.99,79.05,52.8,55.87
88.55,5.64,74.29,82.86,78.66,82.31
84.76,6.01,57.67,67.57,77.58,67.27
97.46,4.14,70.26,57.84,55.06,66.25
68.01,3.71,54.53,82.9,84.08,69.4
72.76,2.06,38.53,88.17,97.66,66.89
86.15,4.91,52.5,68.06,74.23,70.3
71.65,5.98,79.51,58.16,78.48,76.09
96.45,8.61,66.32,67.07,86.96,79.48
75.15,6.71,70.57,42.69,68.54,62.36
84.57,2.78,70.12,80.57,44.64,59.21
74.61,3.5,43.06,72.35,78.82,66.01
70.09,1.09,46.76,42.62,76.33,59.57
88.37,4.87,59.46,79.76,65.29,67.93
70.89,6.74,73.23,85.18,87.36,79.0
54.23,0.58,90.59,52.24,59.59,53.64
71.98,6.79,59.72,78.65,78.66,69.5
81.48,5.96,79.08,80.71,78.92,80.55
54.66,4.63,73.85,74.64,70.72,66.78
75.14,3.59,65.07,62.66,51.27,56.39
79.93,9.32,68.73,78.13,81.08,82.31
56.34,5.26,87.27,86.1,69.09,70.15
61.43,7.83,65.03,50.46,91.63,73.8
63.22,2.73,71.84,66.01,67.76,69.01
61.57,4.36,88.83,77.24,47.68,65.39
76.84,2.3,49.09,74.11,62.65,54.36
68.81,7.9,86.39,60.4,56.76,66.55
78.29,6.76,66.17,66.83,70.81,66.77
76.21,4.32,59.7,66.34,56.58,67.31
54.52,5.0,60.87,80.85,66.16,60.28
65.32,4.43,55.12,78.73,70.97,57.87
84.81,3.91,74.0,72.59,73.9,70.88
68.63,4.57,47.63,81.71,94.51,71.7
82.82,8.79,64.83,89.74,83.64,81.97
84.12,6.65,65.89,83.83,54.61,63.29
87.03,5.47,84.54,74.93,67.97,78.51
77.39,4.59,71.63,68.2,74.62,67.08
76.27,3.29,85.33,71.76,77.05,71.27
80.62,5.41,69.95,76.89,78.81,76.78
92.91,3.67,57.93,81.02,38.2,57.59
88.8,4.0,77.77,91.11,62.56,73.11
94.91,1.93,59.78,89.04,89.05,75.95
83.2,3.96,60.45,94.59,77.61,74.33
90.11,4.76,91.75,58.77,78.21,83.11
91.63,2.36,77.19,89.88,62.95,66.85
63.8,7.57,52.18,36.64,56.25,59.34
66.18,6.05,63.67,60.0,70.35,71.18
85.56,5.85,73.98,75.55,54.21,71.02
100.0,6.47,81.43,74.76,69.11,75.56
76.83,6.55,81.88,85.88,75.15,80.08
82.21,5.28,77.01,70.83,69.58,70.31
85.99,0.86,66.93,82.56,60.38,69.06
93.21,2.73,52.02,69.98,43.25,57.91
73.7,7.58,76.27,72.21,77.9,75.43
74.94,3.71,64.52,96.12,78.45,69.17
85.84,1.25,63.74,93.92,56.74,60.59
67.95,6.44,64.17,78.41,89.41,75.04
50.11,7.38,70.78,79.89,75.05,68.28
82.46,8.11,56.28,84.79,89.68,82.32
76.92,0.5,70.05,68.98,100.0,69.09
87.42,4.82,57.38,61.13,79.64,73.32
71.1,5.71,79.68,67.51,81.75,74.87
66.9,2.64,69.16,84.57,64.97,61.64
79.09,3.71,90.3,69.81,78.08,76.2
79.3,0.5,86.23,95.0,59.01,60.87
74.81,4.99,66.68,82.88,68.64,67.78
78.8,7.28,51.29,89.65,84.36,80.38
96.29,5.77,79.42,68.08,50.88,69.65
98.19,5.77,63.51,66.44,71.69,76.57
80.46,3.44,88.2,88.99,79.63,73.91
52.92,3.83,65.39,65.28,90.71,67.75
68.37,2.01,59.46,76.68,66.81,55.52
91.69,3.26,75.51,63.13,72.85,66.59
90.01,4.87,69.33,78.3,62.78,66.34
96.28,5.75,61.79,49.61,77.48,68.49
78.01,5.83,100.0,71.13,69.73,77.0
71.52,5.62,62.39,53.96,83.08,68.46
69.39,7.09,62.03,63.13,59.62,59.32
83.65,6.42,58.99,65.1,70.33,68.22
70.9,7.1,62.38,85.38,42.87,60.87
92.66,0.5,77.86,67.04,61.93,61.9
73.14,8.43,68.12,56.71,52.65,65.22
75.9,5.36,68.17,93.12,45.7,63.58
71.39,5.05,75.07,68.63,63.5,71.96
84.26,3.63,89.18,48.44,71.33,73.95
75.41,1.78,55.23,66.94,75.42,64.38
72.62,2.59,60.78,86.42,56.59,60.93
79.93,2.14,78.78,76.28,56.43,64.28
75.99,5.65,53.27,79.17,72.55,64.14
68.25,4.51,69.26,77.18,96.46,70.6
42.16,3.68,76.18,76.64,58.5,61.64
88.01,3.09,67.97,66.78,55.53,58.56
68.48,3.24,54.48,77.47,68.14,60.54
100.0,2.78,95.27,58.27,91.0,85.18
45.73,8.2,61.15,87.62,75.43,67.53
