Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
69.35,6.77,89.57,91.08,59.25,80.7
84.24,2.82,56.13,68.38,87.72,66.09
93.94,6.15,77.75,51.68,83.33,76.12
90.59,4.59,100.0,46.04,95.01,81.61
88.61,6.07,51.76,58.69,46.77,59.44
71.21,5.56,71.73,72.28,60.2,76.51
87.55,5.21,62.17,75.45,64.59,64.78
82.74,3.69,47.32,65.0,86.52,65.73
59.2,6.3,55.58,77.98,81.33,67.52
63.82,0.57,76.16,63.37,59.29,57.38
87.84,1.72,95.79,78.28,85.83,75.74
67.59,5.82,40.44,72.85,55.82,55.2
79.77,3.62,64.77,100.0,90.69,76.91
80.2,3.28,86.6,76.88,80.62,80.6
59.32,5.07,37.28,100.0,54.88,52.36
86.27,1.27,74.93,45.75,55.61,61.63
81.76,8.25,42.69,77.18,77.77,68.99
65.0,6.0,69.48,76.52,93.22,82.17
49.06,6.35,79.48,67.16,58.03,59.71
51.35,2.41,90.09,83.06,80.21,65.0
55.85,1.17,87.46,85.5,69.55,62.51
82.49,4.16,80.89,72.88,93.42,74.8
73.24,2.65,80.79,68.51,43.81,53.89
65.74,2.28,59.99,74.37,72.98,51.35
79.03,8.17,45.73,71.88,72.05,61.12
74.06,4.47,51.17,55.97,100.0,68.21
72.28,1.34,82.62,76.15,50.08,58.06
71.28,4.11,73.74,79.14,60.52,61.44
61.96,4.7,67.56,79.81,61.78,61.33
40.9,4.48,80.34,61.83,72.69,57.23
86.84,5.59,90.7,85.23,59.95,77.54
91.93,5.33,87.54,64.42,83.95,77.15
87.54,3.01,73.3,69.24,53.79,61.45
71.52,3.16,71.29,85.96,76.63,70.9
99.67,6.57,55.84,76.14,56.69,66.62
91.39,4.94,82.73,66.32,57.56,73.14
85.27,2.38,85.68,39.34,47.95,49.8
85.83,5.98,72.61,82.28,58.5,67.04
63.19,6.02,54.31,84.04,45.39,59.25
67.77,4.51,67.01,77.97,57.99,58.92
79.64,3.25,74.36,60.1,77.66,67.44
81.65,3.57,82.8,65.15,64.67,65.73
68.8,2.27,51.89,77.56,60.49,57.04
83.94,7.24,79.81,62.35,74.23,75.58
100.0,5.34,33.16,84.84,63.27,68.41
62.05,8.28,90.65,63.22,65.8,74.23
86.58,8.58,72.86,66.28,68.68,83.43
80.7,5.6,68.44,69.03,48.4,65.05
78.27,0.94,58.04,64.62,75.16,54.25
94.37,3.85,68.74,99.0,60.55,62.35
81.55,8.12,70.42,96.08,82.44,74.28
85.8,2.64,83.08,58.35,70.02,66.92
75.22,5.55,77.31,55.26,76.73,59.99
61.29,4.98,75.59,81.31,55.95,68.83
81.29,7.44,52.94,93.31,47.05,60.35
67.02,4.93,93.46,68.82,51.21,50.9
74.72,3.47,42.83,59.32,93.84,65.78
72.73,5.84,54.96,66.77,64.54,60.94
84.4,3.98,40.87,60.29,87.19,70.01
79.07,4.39,66.62,78.84,67.27,67.43
87.91,7.38,61.43,66.07,69.45,77.85
87.4,9.54,61.32,53.06,64.39,76.48
75.38,7.28,61.04,99.48,79.26,76.96
77.75,5.05,70.46,66.42,79.35,69.02
78.13,0.73,32.45,100.0,87.46,57.38
63.25,4.62,47.51,73.51,86.14,67.99
66.58,6.17,69.38,76.82,58.7,59.33
98.56,4.96,74.41,88.16,69.04,73.77
79.44,3.73,53.36,69.78,64.31,62.42
92.84,6.01,76.09,75.58,69.19,72.21
