Attendance,StudyHours,InternalMarks,AssignmentMarks,PreviousMarks,FinalScore
100.0,4.84,70.61,78.17,81.28,73.42
70.29,4.91,71.91,87.81,64.43,68.55
100.0,4.51,63.56,72.63,43.51,54.63
75.83,2.22,68.75,46.51,55.45,52.3
88.5,2.62,75.05,76.17,76.68,61.35
56.87,3.26,34.85,84.52,100.0,69.18
50.86,2.85,100.0,60.9,66.96,59.17
77.75,7.3,67.12,80.26,100.0,83.21
95.07,5.55,37.08,87.34,100.0,69.98
92.93,3.68,75.66,48.28,81.86,64.9
98.85,5.98,67.43,95.72,64.35,67.54
62.08,8.19,71.59,87.54,41.65,57.68
70.49,3.82,61.86,43.07,65.34,62.56
70.33,0.5,60.05,72.15,78.14,72.35
77.57,6.06,55.69,58.33,70.39,71.57
95.69,7.12,77.45,82.86,50.79,59.35
74.05,7.98,75.16,94.37,88.33,86.5
89.48,6.11,67.7,50.62,58.95,65.41
85.53,2.94,56.89,67.29,79.9,60.56
63.01,1.58,74.82,92.15,92.3,67.39
92.66,4.47,65.35,76.3,54.71,68.33
84.48,8.75,77.7,89.69,66.08,70.31
72.08,1.84,75.51,100.0,53.68,58.13
65.44,6.04,57.75,71.06,64.31,58.17
65.75,5.68,71.85,62.21,67.23,62.69
63.05,7.69,45.96,77.62,76.02,71.29
84.5,4.19,64.63,58.93,42.61,53.86
50.77,3.95,58.46,82.79,68.05,60.28
65.72,1.11,74.72,88.22,63.0,63.98
78.47,4.85,63.72,67.05,66.0,53.72
88.42,6.49,53.92,82.18,71.54,71.6
69.76,1.3,60.88,62.52,82.2,66.73
77.95,6.56,58.65,61.62,69.77,65.61
83.3,3.25,55.4,49.84,40.78,45.7
55.81,6.9,71.83,66.46,69.18,63.74
93.75,4.16,84.69,70.4,53.96,64.14
98.97,4.52,61.92,56.04,75.15,61.47
75.75,2.05,45.81,100.0,79.04,70.31
97.4,5.62,57.65,68.37,83.07,77.33
82.86,5.92,67.5,68.86,87.99,77.75
78.67,2.37,49.65,77.89,54.06,55.73
89.43,5.41,77.24,77.03,95.7,83.7
85.32,3.04,76.09,69.87,64.43,71.01
99.08,4.84,52.06,87.66,99.39,73.59
67.18,2.59,83.02,98.67,43.83,57.67
72.33,0.5,97.5,100.0,88.32,74.93
86.83,2.3,72.51,72.4,96.49,83.53
71.12,6.16,77.05,78.72,40.28,59.81
97.99,4.27,86.09,74.59,84.2,82.67
74.92,4.88,66.44,79.43,38.43,51.62
85.12,4.82,40.95,91.5,84.39,62.88
74.33,0.95,77.41,86.74,61.92,57.43
69.44,1.48,74.75,64.62,72.38,66.33
89.24,3.29,62.98,73.54,46.85,51.78
70.3,5.26,86.52,90.97,64.54,66.67
52.25,7.74,56.9,71.1,36.52,54.12
